temp,precip,K,prio,alpha,beta,dom_rel,irr_rel,eco_rel,dom_crel,irr_crel,eco_crel,dom_res,irr_res,eco_res,dom_vul,irr_vul,eco_vul,cost
0,0.7,140,2,0.5,0.7,68.183333334,64.483333334,NA,88.216666667,78.949999999,NA,0.1782959896,0.1395611417,0.4337279764,0.4965028044,0.7292602423,0.6249395009,1.1e+08
0,0.7,140,2,0.5,1,71.550000001,68.250000001,NA,85.233333334,78.416666667,NA,0.2154252355,0.1763820493,0.4670208243,0.5730529033,0.7818397631,0.6855435569,1.1e+08
0,0.7,140,2,0.7,0.4,61.4,58.416666667,99.949999999,75.883333333,68.566666667,100,0.1222558726,0.1044142323,0.363750965,0.3610886557,0.7175251555,0.5460668002,1.1e+08
0,0.7,140,2,0.7,0.7,66.616666666,64.483333334,NA,76.233333334,71.699999999,NA,0.1616040532,0.1395611417,0.4202199222,0.4410761625,0.7825045199,0.6398853614,1.1e+08
0,0.7,140,2,0.7,1,70.249999999,68.250000001,NA,77.066666667,74.016666667,NA,0.1970425869,0.1763820493,0.4564305667,0.5207060104,0.8181873962,0.7116795247,1.1e+08
0,0.7,140,2,0.9,0.4,59.35,58.416666667,99.949999999,75.733333334,60.999999999,99.983333333,0.1118582277,0.1044142323,0.352320345,0.2796697178,0.8351701953,0.6037667946,1.1e+08
0,0.7,140,2,0.9,0.7,65.100000001,64.483333334,NA,75.900000001,66.466666668,NA,0.1479144579,0.1395611417,0.4032732059,0.3783530809,0.8659408418,0.6777502875,1.1e+08
0,0.7,140,2,0.9,1,68.816666666,68.250000001,NA,76.533333333,70.216666666,NA,0.1823723332,0.1763820493,0.4438978158,0.4658536408,0.8731958504,0.7305944352,1.1e+08
0,0.7,140,3,0.5,0.4,63.750000001,59.583333334,99.949999999,92.333333333,83.399999998,100,0.1383119607,0.1177425563,0.3461904911,0.423307995,0.6235872767,0.68055721,1.1e+08
0,0.7,140,3,0.5,0.7,68.183333334,65.083333334,NA,88.216666667,80.116666666,NA,0.1782959896,0.1491736242,0.3944344351,0.4965028044,0.7075292278,0.7465823594,1.1e+08
0,0.7,140,3,0.5,1,71.550000001,68.966666668,NA,85.233333334,79.516666668,NA,0.2154252355,0.1853952776,0.4336167485,0.5730529033,0.763641693,0.7926337191,1.1e+08
0,0.7,140,3,0.7,0.4,61.4,59.150000001,99.949999999,75.883333333,71.116666666,100,0.1222558726,0.1132564615,0.3461904911,0.3610886557,0.6749555021,0.7708072474,1.1e+08
0,0.7,140,3,0.7,0.7,66.616666666,64.799999999,NA,76.233333334,73.216666667,NA,0.1616040532,0.1470215585,0.3944344351,0.4410761625,0.7499173907,0.8061720834,1.1e+08
0,0.7,140,3,0.7,1,70.249999999,68.666666667,NA,77.066666667,74.900000001,NA,0.1970425869,0.1824959208,0.4336167485,0.5207060104,0.798543623,0.826467365,1.1e+08
0,0.7,140,3,0.9,0.4,59.35,58.766666667,99.949999999,75.733333334,63.2,99.983333333,0.1118582277,0.1072022475,0.3461904911,0.2796697178,0.7778629534,0.8916974256,1.1e+08
0,0.7,140,3,0.9,0.7,65.100000001,64.550000002,NA,75.900000001,68.233333333,NA,0.1479144579,0.1407343194,0.3944344351,0.3783530809,0.8141764118,0.9110986516,1.1e+08
0,0.7,140,3,0.9,1,68.816666666,68.399999999,NA,76.533333333,71.466666666,NA,0.1823723332,0.1798172523,0.4336167485,0.4658536408,0.8388745339,0.8995938443,1.1e+08
0,0.8,100,1,0.5,0.4,66.849999999,63.7,99.750000001,93.633333334,85.866666667,100,0.1587639331,0.1376381899,0.532160937,0.4092815378,0.6137134037,0.4602617109,8.8e+07
0,0.8,100,1,0.5,0.7,72.800000001,69.649999999,NA,90.216666667,83.416666665,NA,0.2085555355,0.1843587081,0.549542416,0.4866644689,0.6954311359,0.4706611983,8.8e+07
0,0.8,100,1,0.5,1,76.249999999,73.999999999,NA,87.833333335,83.116666666,NA,0.2503860632,0.2244262282,0.5638253365,0.5671748825,0.7616669384,0.484176138,8.8e+07
0,0.8,100,1,0.7,0.4,65.499999998,63.7,99.549999999,79.983333335,73.65,99.816666666,0.1515448251,0.1376381899,0.4542908953,0.3593320533,0.6742184669,0.2904468949,8.8e+07
0,0.8,100,1,0.7,0.7,71.533333334,69.649999999,NA,80.666666667,77.166666667,NA,0.2000790293,0.1843587081,0.5054369267,0.439602666,0.7432261584,0.2928763891,8.8e+07
0,0.8,100,1,0.7,1,75.249999999,73.999999999,NA,81.283333334,79.066666667,NA,0.2370815713,0.2244262282,0.5196721992,0.5290193844,0.7986734173,0.3018167122,8.8e+07
0,0.8,100,1,0.9,0.4,64.416666666,63.7,99.25,77.366666667,66.05,99.433333333,0.1421419484,0.1376381899,0.4053345539,0.2935627409,0.8219071822,0.099524941,8.8e+07
0,0.8,100,1,0.9,0.7,70.316666667,69.649999999,NA,78.866666666,71.933333332,NA,0.1884958831,0.1843587081,0.4705976663,0.3935912559,0.8295321679,0.1009470937,8.8e+07
